ENERC;CHOAVL;FAT;PROT;FIBC;STARCH;SUGAR;FASAT;NACL
83.47;3.000;0.100;0.69;1.800;0;3.000;0.0154;2318.68
66.45;2.000;0.100;0.75;2.000;0.3;1.700;0;5.10
321.73;17.000;0.200;0.69;1.700;1;16;0.0340;43.32
95.11;3.450;0.300;0.55;1.400;0.1;3.350;0.0363;5.54
381.72;19.200;0.400;1.25;1.200;0;19.200;0.0349;2598.96
234.26;7.950;0.450;4.50;1.000;0.20;7.750;0.0544;509.60
119.57;4.280;0.400;0.94;1.900;0.02;4.200;0.0635;8.92
116.65;2.900;0.200;2.27;2.200;1.00;1.900;0.0774;16.56
137.38;6.800;0.200;0.59;0;0.30;6.500;0.0350;917.28
74.07;2.250;0.300;1.00;0.900;0;2.250;0.0206;4.54
72.11;1.500;0.300;1.38;1.400;0;1.500;0.0325;301.94
93.57;3.100;0.200;0.50;2.500;0.20;2.900;0.0202;5.10
562.93;25.600;1.36;2.81;3.700;22.00;3.600;0.1869;7.64
114.32;0.700;1.400;1.38;3.300;0.10;0.600;0.0325;0
112.36;1.541;0.692;1.957;3.22;0.100;1.441;0.0374;5.10
74.84;0.500;0.500;1.83;1.900;0.2;0.300;0.0399;7.13
125.28;0.900;0.800;3.69;2.1;0.1;0.800;0.0325;66.25
314.58;9.495;0.787;5.623;3.100;4.187;5.308;0.1628;5.10
1025.19;27.166;1.640;19.400;20;24.400;2.766;0.1329;2.55
149.14;4.754;0.262;2.052;2.400;1.646;3.108;0.0627;5.10
1277.03;39.500;1.500;22.19;21.600;36.7;2.800;0.2000;12.74
2694.50;3.400;61.000;14.1;17.500;0;3.400;4.5307;2.55
2779.68;3.200;65.21;15.23;6.7;0.6;2.600;6.1260;2.55
815.46;36.600;2.200;3.38;6.800;29.60;7.000;0.3000;1.53
2306.70;12.500;43.000;25.6;8.5;6.3;6.200;6.2596;2.55
2517.10;6.600;51.24;24.06;12.5;0;6.600;4.0753;2.55
1951.55;23.510;23.500;34.54;11.900;12.30;11.210;3.3000;22.93
1634.50;28.400;7.200;45.30;14.400;14.80;13.600;1;35.67
2765.02;6.400;64.53;8.13;16.3;0;6.400;57.2160;94.28
2309.98;12.693;43;25.6;8.5;6;6.693;6.5608;1974.62
150.10;2.600;0.700;4.00;1.500;1.80;0.800;0.1000;15.29
2543.40;0.900;54.8;23.5;12.300;0.50;0.400;6.7791;66.25
118.78;4.500;0.3;0.94;1.9;0;4.500;0.0270;8.92
88.94;2.500;0.300;0.94;1.900;0.10;2.400;0.0270;10.19
126.08;5.100;0.200;0.94;2.000;0;5.100;0.0270;10.19
75.54;2.500;0.400;0.56;0.700;0;2.500;0.0182;6.14
93.58;3.350;0.300;0.56;1.400;0;3.350;0.0363;917.28
1565.47;10.300;17.700;35.88;15.7;4.80;5.500;2.8500;12.74
94.60;1.700;0.600;1.38;2.40;0;1.700;0.0325;35.67
453.13;16.300;0.600;7.9;2.1;14.7;1.600;0.0201;9.43
539.58;29.946;0.100;0.51;0.976;0;29.946;0.0357;1081.23
464.70;14.000;0.80;8.30;7;12.5;1.5;0.0760;12.74
344.87;13.089;0.848;3.15;2.902;8.69;4.379;0.1380;7.20
127.03;5.300;0.200;0.56;1.9;0.1;5.2;0.0363;99.37
1304.29;45.700;1.13;24.38;8.900;44.50;1.200;0.2000;30.58
1149.38;60.200;0.32;0.89;8.7;0;60.200;0.0794;15.54
306.87;16.000;0.100;1.02;1.300;0;16.000;0.0166;18.35
923.32;43.400;0.51;5.19;7.3;0;43.400;0.0921;42.55
277.52;15.200;0.100;0.31;0.800;0;15.200;0.0217;3.82
1173.01;52.900;1.03;5.85;11.600;0;52.900;0.1111;34.91
307.90;16.600;0.100;0.50;1.200;0;16.600;0.0180;5.35
307.70;15.500;0.400;0.60;1.100;0;15.500;0.0159;12.74
932.43;43.860;0.800;3.48;8.230;0;43.860;0.0332;23.95
1223.42;60.100;0.500;2.80;9.700;0;60.100;0.0386;14.01
638.93;0;16.000;1.10;3.520;0;0;2.2643;4892.16
366.94;19.200;0.400;0.78;1.100;0;19.200;0.0187;10.45
192.27;10.700;0.06;0.16;0;0;10.700;0.0146;9.17
193.06;10.000;0.14;0.56;0;0;10.000;0.0263;9.68
171.01;9.000;0.200;0.41;0;0;9.000;0.0130;35.67
186.77;10.245;0.112;0.17;0;0;10.245;0.0222;9.50
59.20;1.600;0;0.20;0;0;1.600;0;2.55
247.80;13.400;0.100;0.50;0;0;13.400;0;10.45
204.76;8.858;0.657;0.531;2.600;0.693;8.165;0.0254;5.10
136.11;3.450;0.700;0.44;3.300;0;3.450;0.0254;2.29
270.89;10.182;1.059;0.821;3.300;1.790;8.391;0.0406;5.10
310.10;9.716;1.089;1.384;5.800;1.142;8.575;0.0365;5.10
237.07;7.500;0.400;1.44;5.000;0;7.500;0.0261;1.53
166.96;5.400;0.400;0.88;3.400;0;5.400;0.0246;0.51
186.74;7.656;0.313;0.529;1.900;0.632;7.024;0.0291;5.10
199.22;5.715;0.789;1.015;3.700;0.421;5.294;0.0328;5.10
230.98;6.846;1.057;1.474;6.300;1.034;5.812;0.0344;5.10
678.13;38.000;0.100;0.60;1.300;0.50;37.500;0.0122;86.63
873.02;48.200;0.600;0.94;0;0;48.200;0.1800;1.78
744.76;42.000;0;0.84;0;0;42.000;0.0182;61.15
158.75;7.800;0;0.63;0;0;7.800;0.0156;2.93
